Day,Amount_Cents,Description
10,46194,HVAC filter replacement 100
50,68223,Routine landscaping 367
68,34037,Snow removal 169
72,42783,Minor plumbing repair 810
84,157034,Common area utilities 603
85,29963,Snow removal 253
101,500000,Monthly cleaning 720
113,874918,HVAC unit installation 851
119,47843,Snow removal 515
120,12167,Property tax late fee 975
135,292616,Common area utilities 397
136,176272,Security patrol 912
151,28954,Landlord penalty for code violation 194
155,71169,HVAC filter replacement 422
189,166609,Common area utilities 687
191,22470,Property tax late fee 493
196,386618,Legal fee for eviction 260
196,121919,Security patrol 743
260,295802,Common area utilities 917
265,56648,Snow removal 269
300,611352,Roof replacement 387
325,34195,Landlord penalty for code violation 590
340,157779,Common area utilities 152
362,220845,Legal fee for eviction 606
